# left_edge,right_edge,count; x_origin=0; unit=V
0.0057154148817062378,0.022161930352449417,107609
0.022161930352449417,0.038608445823192596,491601
0.038608445823192596,0.055054961293935778,228031
0.055054961293935778,0.071501476764678953,124259
0.071501476764678953,0.087947992235422129,81908
0.087947992235422129,0.10439450770616532,44033
0.10439450770616532,0.12084102317690849,23604
0.12084102317690849,0.13728753864765167,12390
0.13728753864765167,0.15373405411839486,7067
0.15373405411839486,0.17018056958913802,4666
0.17018056958913802,0.18662708505988121,3426
0.18662708505988121,0.2030736005306244,2745
0.2030736005306244,0.21952011600136756,2138
0.21952011600136756,0.23596663147211075,1924
0.23596663147211075,0.25241314694285388,1642
0.25241314694285388,0.2688596624135971,1400
0.2688596624135971,0.28530617788434026,1226
0.28530617788434026,0.30175269335508348,1080
0.30175269335508348,0.31819920882582664,1037
0.31819920882582664,0.3346457242965698,911
0.3346457242965698,0.35109223976731302,768
0.35109223976731302,0.36753875523805618,713
0.36753875523805618,0.38398527070879934,631
0.38398527070879934,0.40043178617954256,579
0.40043178617954256,0.41687830165028572,532
0.41687830165028572,0.43332481712102888,453
0.43332481712102888,0.44977133259177204,468
0.44977133259177204,0.46621784806251526,420
0.46621784806251526,0.48266436353325842,370
0.48266436353325842,0.49911087900400158,386
0.49911087900400158,0.5155573944747448,297
0.5155573944747448,0.53200390994548796,306
0.53200390994548796,0.54845042541623112,312
0.54845042541623112,0.56489694088697429,292
0.56489694088697429,0.58134345635771745,264
0.58134345635771745,0.59778997182846072,237
0.59778997182846072,0.61423648729920388,234
0.61423648729920388,0.63068300276994704,235
0.63068300276994704,0.6471295182406902,213
0.6471295182406902,0.66357603371143337,185
0.66357603371143337,0.68002254918217653,209
0.68002254918217653,0.6964690646529198,178
0.6964690646529198,0.71291558012366296,198
0.71291558012366296,0.72936209559440612,178
0.72936209559440612,0.74580861106514929,180
0.74580861106514929,0.76225512653589245,183
0.76225512653589245,0.77870164200663561,152
0.77870164200663561,0.79514815747737888,146
0.79514815747737888,0.81159467294812204,163
0.81159467294812204,0.8280411884188652,142
0.8280411884188652,0.84448770388960837,146
0.84448770388960837,0.86093421936035153,151
0.86093421936035153,0.87738073483109469,151
0.87738073483109469,0.89382725030183785,137
0.89382725030183785,0.91027376577258112,155
0.91027376577258112,0.92672028124332428,150
0.92672028124332428,0.94316679671406745,178
0.94316679671406745,0.95961331218481061,198
0.95961331218481061,0.97605982765555377,314
0.97605982765555377,0.99250634312629693,561
0.99250634312629693,1.0089528585970402,784
1.0089528585970402,1.0253993740677834,615
1.0253993740677834,1.0418458895385265,259
1.0418458895385265,1.0582924050092697,64
1.0582924050092697,1.0747389204800128,8
1.0747389204800128,1.091185435950756,3
1.091185435950756,1.1076319514214992,0
1.1076319514214992,1.1240784668922423,0
1.1240784668922423,1.1405249823629855,0
1.1405249823629855,1.1569714978337287,0
1.1569714978337287,1.173418013304472,0
1.173418013304472,1.1898645287752152,0
1.1898645287752152,1.2063110442459584,0
1.2063110442459584,1.2227575597167015,0
1.2227575597167015,1.2392040751874447,0
1.2392040751874447,1.2556505906581878,0
1.2556505906581878,1.272097106128931,0
1.272097106128931,1.2885436215996742,1
1.2885436215996742,1.3049901370704173,0
1.3049901370704173,1.3214366525411605,0
1.3214366525411605,1.3378831680119037,0
1.3378831680119037,1.3543296834826468,0
1.3543296834826468,1.37077619895339,0
1.37077619895339,1.3872227144241334,0
1.3872227144241334,1.4036692298948765,0
1.4036692298948765,1.4201157453656197,0
1.4201157453656197,1.4365622608363628,0
1.4365622608363628,1.453008776307106,0
1.453008776307106,1.4694552917778492,0
1.4694552917778492,1.4859018072485923,0
1.4859018072485923,1.5023483227193355,0
1.5023483227193355,1.5187948381900787,0
1.5187948381900787,1.5352413536608218,0
1.5352413536608218,1.551687869131565,0
1.551687869131565,1.5681343846023081,0
1.5681343846023081,1.5845809000730515,0
1.5845809000730515,1.6010274155437947,0
1.6010274155437947,1.6174739310145378,0
1.6174739310145378,1.633920446485281,0
1.633920446485281,1.6503669619560242,0
