# left_edge,right_edge,count; x_origin=0; unit=V·ns
-1.2717396472507971,-1.2418730105236317,1
-1.2418730105236317,-1.2120063737964666,0
-1.2120063737964666,-1.1821397370693012,0
-1.1821397370693012,-1.1522731003421358,0
-1.1522731003421358,-1.1224064636149707,2
-1.1224064636149707,-1.0925398268878053,0
-1.0925398268878053,-1.0626731901606399,0
-1.0626731901606399,-1.0328065534334745,0
-1.0328065534334745,-1.0029399167063093,0
-1.0029399167063093,-0.97307327997914395,0
-0.97307327997914395,-0.94320664325197867,1
-0.94320664325197867,-0.9133400065248134,1
-0.9133400065248134,-0.88347336979764801,1
-0.88347336979764801,-0.85360673307048274,1
-0.85360673307048274,-0.82374009634331746,2
-0.82374009634331746,-0.79387345961615208,0
-0.79387345961615208,-0.7640068228889868,2
-0.7640068228889868,-0.73414018616182142,1
-0.73414018616182142,-0.70427354943465614,1
-0.70427354943465614,-0.67440691270749076,0
-0.67440691270749076,-0.64454027598032548,5
-0.64454027598032548,-0.61467363925316021,1
-0.61467363925316021,-0.58480700252599482,3
-0.58480700252599482,-0.55494036579882955,4
-0.55494036579882955,-0.52507372907166427,8
-0.52507372907166427,-0.49520709234449889,2
-0.49520709234449889,-0.46534045561733361,4
-0.46534045561733361,-0.43547381889016834,3
-0.43547381889016834,-0.40560718216300296,9
-0.40560718216300296,-0.37574054543583768,6
-0.37574054543583768,-0.3458739087086723,10
-0.3458739087086723,-0.31600727198150702,5
-0.31600727198150702,-0.28614063525434175,11
-0.28614063525434175,-0.25627399852717647,8
-0.25627399852717647,-0.22640736180001109,11
-0.22640736180001109,-0.1965407250728457,18
-0.1965407250728457,-0.16667408834568054,8
-0.16667408834568054,-0.13680745161851515,17
-0.13680745161851515,-0.10694081489134977,11
-0.10694081489134977,-0.077074178164184382,13
-0.077074178164184382,-0.047207541437019218,20
-0.047207541437019218,-0.017340904709853833,29
-0.017340904709853833,0.012525732017311553,850
0.012525732017311553,0.042392368744476716,3545
0.042392368744476716,0.072259005471642102,23397
0.072259005471642102,0.10212564219880749,75324
0.10212564219880749,0.13199227892597265,26239
0.13199227892597265,0.16185891565313804,13812
0.16185891565313804,0.19172555238030342,9262
0.19172555238030342,0.22159218910746858,6767
0.22159218910746858,0.25145882583463397,5081
0.25145882583463397,0.28132546256179936,3809
0.28132546256179936,0.31119209928896452,3040
0.31119209928896452,0.3410587360161299,2496
0.3410587360161299,0.37092537274329529,2121
0.37092537274329529,0.40079200947046045,1707
0.40079200947046045,0.43065864619762584,1481
0.43065864619762584,0.46052528292479122,1329
0.46052528292479122,0.49039191965195661,1115
0.49039191965195661,0.52025855637912177,965
0.52025855637912177,0.55012519310628716,783
0.55012519310628716,0.57999182983345254,747
0.57999182983345254,0.60985846656061771,594
0.60985846656061771,0.63972510328778309,537
0.63972510328778309,0.66959174001494848,413
0.66959174001494848,0.69945837674211364,408
0.69945837674211364,0.72932501346927925,360
0.72932501346927925,0.75919165019644419,336
0.75919165019644419,0.78905828692360958,284
0.78905828692360958,0.81892492365077496,252
0.81892492365077496,0.84879156037794035,228
0.84879156037794035,0.87865819710510573,221
0.87865819710510573,0.90852483383227112,236
0.90852483383227112,0.93839147055943606,172
0.93839147055943606,0.96825810728660144,195
0.96825810728660144,0.99812474401376683,154
0.99812474401376683,1.0279913807409322,183
1.0279913807409322,1.0578580174680976,170
1.0578580174680976,1.087724654195263,151
1.087724654195263,1.1175912909224284,173
1.1175912909224284,1.1474579276495933,197
1.1474579276495933,1.1773245643767587,194
1.1773245643767587,1.2071912011039241,190
1.2071912011039241,1.2370578378310895,190
1.2370578378310895,1.2669244745582549,200
1.2669244745582549,1.2967911112854202,225
1.2967911112854202,1.3266577480125852,258
1.3266577480125852,1.3565243847397506,241
1.3565243847397506,1.386391021466916,261
1.386391021466916,1.4162576581940813,318
1.4162576581940813,1.4461242949212467,277
1.4461242949212467,1.4759909316484121,253
1.4759909316484121,1.505857568375577,205
1.505857568375577,1.5357242051027424,145
1.5357242051027424,1.5655908418299078,87
1.5655908418299078,1.5954574785570732,54
1.5954574785570732,1.6253241152842386,31
1.6253241152842386,1.655190752011404,5
1.655190752011404,1.6850573887385694,2
1.6850573887385694,1.7149240254657343,1
